127.0.0.1 - - [13/Jun/2019:09:35:49 +0900] "GET / HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:35:52 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:35:53 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:39:28 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:39:28 +0900] "GET /image/food.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:40:39 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:40:39 +0900] "GET /image/food.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:40:54 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:40:55 +0900] "GET /images/food.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:40:55 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:41:33 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:43:16 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:43:55 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:44:10 +0900] "GET /js_basic/position_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:44:13 +0900] "GET /js_basic/position_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:44:28 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:54:45 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:54:45 +0900] "GET /js/myScript.js HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:54:47 +0900] "GET /js_basic/position_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:55:00 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:55:15 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:55:15 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:57:04 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:57:04 +0900] "GET /js/myScript.js HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:57:05 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:57:31 +0900] "GET /js_basic/position_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:57:31 +0900] "GET /js_basic/position_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:57:35 +0900] "GET /js_basic/position_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:57:45 +0900] "GET /js_basic/position_1.html HTTP/1.1" 304 -
