0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:08:33 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 5308
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:08:33 +0900] "GET /images/food.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:08:36 +0900] "GET /html_list/btn%20btn-default HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:10:02 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 5835
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:21:41 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 6970
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:21:41 +0900] "GET /images/food.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:41:38 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 7382
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:41:38 +0900] "GET /images/food.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:42:17 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 7523
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:43:32 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 7683
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:44:20 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 7715
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:44:59 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 7684
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:47:25 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 7732
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:48:10 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 7732
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:49:51 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 7731
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:49:51 +0900] "GET /images/food.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:53:32 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:54:21 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:55:25 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:58:49 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 8120
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:58:49 +0900] "GET /images/food.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:59:09 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 8154
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:00:51 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 8065
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:01:47 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 8120
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:03:54 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 8153
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:06:46 +0900] "GET /css_margin/margin_!.html HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:09:11 +0900] "GET /css_margin/margin_!.html HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:14:49 +0900] "GET /css_margin/margin_2.html HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:15:36 +0900] "GET /css_margin/margin_2.html HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:16:37 +0900] "GET /css_margin/margin_2.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:23:54 +0900] "GET /css_margin/margin_2.html HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:40:34 +0900] "GET /js_document/document_1.html HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:42:18 +0900] "GET /js_document/document_1.html HTTP/1.1" 200 998
