127.0.0.1 - - [10/Jun/2019:09:40:03 +0900] "GET / HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [10/Jun/2019:09:40:04 +0900] "GET /html_list/listTag_1.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [10/Jun/2019:09:40:04 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [10/Jun/2019:09:40:47 +0900] "GET /html_list/listTag_1.html HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [10/Jun/2019:09:41:03 +0900] "GET /html_list/listTag_1.html1 HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [10/Jun/2019:09:41:11 +0900] "GET /html_list/listTag_1.html?1 HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:08:43 +0900] "GET /html_list/listTag_1a.html HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:10:10 +0900] "GET /html_list/listTag_1a.html HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:10:11 +0900] "GET /html_list/listTag_1a.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:11:21 +0900] "GET /html_list/listTag_1.html?1 HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:11:22 +0900] "GET /html_list/listTag_1a.html HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:11:23 +0900] "GET /html_list/listTag_1a.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:43:26 +0900] "GET /html_semantic/beforeSemantic.html HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:43:32 +0900] "GET /html_day2/innerHTMLTest.html HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:44:29 +0900] "GET /html_semantic/beforeSemantic.html HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:44:34 +0900] "GET /html_list/listTag_1.html HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:46:44 +0900] "GET /html_semantic/beforeSemantic.html HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:46:48 +0900] "GET /html_day2/innerHTMLTest.html HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:51:18 +0900] "GET /html_semantic/afterSemantic.html HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:53:49 +0900] "GET /html_semantic/afterSemantic.html HTTP/1.1" 200 1729
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:54:38 +0900] "GET /html_semantic/afterSemantic.html HTTP/1.1" 200 1730
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:54:40 +0900] "GET /html_semantic/beforeSementic.html HTTP/1.1" 404 1152
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:54:52 +0900] "GET /html_semantic/afterSemantic.html HTTP/1.1" 200 1730
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:54:53 +0900] "GET /html_semantic/beforeSemantic.html HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:00:39 +0900] "GET /html_definition/definition_1.html HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:02:47 +0900] "GET /html_definition/definition_1.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:09:00 +0900] "GET /html_table/table_1.html HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:09:27 +0900] "GET /html_table/table_1.html HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:10:29 +0900] "GET /html_table/table_1.html HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:11:32 +0900] "GET /html_table/table_1.html HTTP/1.1" 200 595
